condition,epoch_index,band,power_type,roi,value
Pre,25,beta,absolute,right_motor,3.4454605955162983e-12
Pre,25,beta,relative,right_motor,0.06973911778950197
Pre,25,low_gamma,absolute,right_motor,3.172176704646444e-13
Pre,25,low_gamma,relative,right_motor,0.006420761425695604
Pre,26,alpha,absolute,left_motor,2.3689214536429865e-11
Pre,26,alpha,relative,left_motor,0.577178268873662
Pre,26,beta,absolute,left_motor,3.1399797066745373e-12
Pre,26,beta,relative,left_motor,0.07650435385309189
Pre,26,low_gamma,absolute,left_motor,4.925202832728622e-13
Pre,26,low_gamma,relative,left_motor,0.012000060367026336
Pre,26,alpha,absolute,right_motor,2.928257788611613e-11
Pre,26,alpha,relative,right_motor,0.5463099969654645
Pre,26,beta,absolute,right_motor,5.275878898228059e-12
Pre,26,beta,relative,right_motor,0.09842935946727932
Pre,26,low_gamma,absolute,right_motor,3.748545295946371e-13
Pre,26,low_gamma,relative,right_motor,0.006993468188551569
Pre,27,alpha,absolute,left_motor,2.6427788080465256e-11
Pre,27,alpha,relative,left_motor,0.5604914239780898
Pre,27,beta,absolute,left_motor,3.5048668357232415e-12
Pre,27,beta,relative,left_motor,0.07433266066864562
Pre,27,low_gamma,absolute,left_motor,3.3882814179753187e-13
Pre,27,low_gamma,relative,left_motor,0.007186006906886224
Pre,27,alpha,absolute,right_motor,2.0711123744358524e-11
Pre,27,alpha,relative,right_motor,0.5152229639741351
Pre,27,beta,absolute,right_motor,2.9679549780247945e-12
Pre,27,beta,relative,right_motor,0.07383271808881202
Pre,27,low_gamma,absolute,right_motor,3.5084344259746434e-13
Pre,27,low_gamma,relative,right_motor,0.008727802538246753
Pre,28,alpha,absolute,left_motor,4.52826719343023e-11
Pre,28,alpha,relative,left_motor,0.5439639783464711
Pre,28,beta,absolute,left_motor,4.401094610025349e-12
Pre,28,beta,relative,left_motor,0.05286872065813504
Pre,28,low_gamma,absolute,left_motor,3.3709417546891696e-13
Pre,28,low_gamma,relative,left_motor,0.004049387567755077
Pre,28,alpha,absolute,right_motor,3.894451396692134e-11
Pre,28,alpha,relative,right_motor,0.5497762274853017
Pre,28,beta,absolute,right_motor,3.826510142392383e-12
Pre,28,beta,relative,right_motor,0.054018502126014174
Pre,28,low_gamma,absolute,right_motor,2.970186766855784e-13
Pre,28,low_gamma,relative,right_motor,0.0041929861468953545
Pre,29,alpha,absolute,left_motor,8.635144058050841e-12
Pre,29,alpha,relative,left_motor,0.3919673261240771
Pre,29,beta,absolute,left_motor,1.935503697290939e-12
Pre,29,beta,relative,left_motor,0.08785657816826752
Pre,29,low_gamma,absolute,left_motor,4.3858766837913644e-13
Pre,29,low_gamma,relative,left_motor,0.019908415480953564
Pre,29,alpha,absolute,right_motor,1.2920437402382947e-11
Pre,29,alpha,relative,right_motor,0.426971036675288
Pre,29,beta,absolute,right_motor,2.0946030692148742e-12
Pre,29,beta,relative,right_motor,0.0692186197752849
Pre,29,low_gamma,absolute,right_motor,3.6415585770954334e-13
Pre,29,low_gamma,relative,right_motor,0.012033958234954656
Pre,30,alpha,absolute,left_motor,1.6093503658426432e-11
Pre,30,alpha,relative,left_motor,0.5528980749336773
Pre,30,beta,absolute,left_motor,2.3048468458756888e-12
Pre,30,beta,relative,left_motor,0.07918383784840966
Pre,30,low_gamma,absolute,left_motor,3.410067154865823e-13
Pre,30,low_gamma,relative,left_motor,0.011715407690808735
Pre,30,alpha,absolute,right_motor,1.9049212673250998e-11
Pre,30,alpha,relative,right_motor,0.6383499779109659
Pre,30,beta,absolute,right_motor,2.4656019285072303e-12
Pre,30,beta,relative,right_motor,0.08262372642885801
Pre,30,low_gamma,absolute,right_motor,2.586475689801737e-13
Pre,30,low_gamma,relative,right_motor,0.008667427508805335
Pre,31,alpha,absolute,left_motor,3.80605400166899e-12
Pre,31,alpha,relative,left_motor,0.22004971201961107
Pre,31,beta,absolute,left_motor,1.5366254296414129e-12
Pre,31,beta,relative,left_motor,0.08884108925578281
Pre,31,low_gamma,absolute,left_motor,4.350642873978171e-13
Pre,31,low_gamma,relative,left_motor,0.025153550398897637
Pre,31,alpha,absolute,right_motor,4.275771315761097e-12
Pre,31,alpha,relative,right_motor,0.24340493520313644
Pre,31,beta,absolute,right_motor,1.279076849733347e-12
Pre,31,beta,relative,right_motor,0.07281343990066949
Pre,31,low_gamma,absolute,right_motor,3.0348213720911415e-13
Pre,31,low_gamma,relative,right_motor,0.01727619287551746
Pre,32,alpha,absolute,left_motor,1.4135346893542656e-11
Pre,32,alpha,relative,left_motor,0.49143955809329326
Pre,32,beta,absolute,left_motor,1.9578476558250766e-12
Pre,32,beta,relative,left_motor,0.06806792886223427
Pre,32,low_gamma,absolute,left_motor,4.550016613620081e-13
Pre,32,low_gamma,relative,left_motor,0.015818912480570792
Pre,32,alpha,absolute,right_motor,2.1596370115767542e-11
Pre,32,alpha,relative,right_motor,0.5728710863234339
Pre,32,beta,absolute,right_motor,2.1097034086672277e-12
Pre,32,beta,relative,right_motor,0.0559625565344916
Pre,32,low_gamma,absolute,right_motor,3.5722608307206123e-13
Pre,32,low_gamma,relative,right_motor,0.009475874564825395
Pre,33,alpha,absolute,left_motor,2.0787034504276602e-11
Pre,33,alpha,relative,left_motor,0.5766409802166083
Pre,33,beta,absolute,left_motor,2.5739475699528147e-12
Pre,33,beta,relative,left_motor,0.07140237581548192
Pre,33,low_gamma,absolute,left_motor,3.864904047415793e-13
Pre,33,low_gamma,relative,left_motor,0.010721404526876923
Pre,33,alpha,absolute,right_motor,1.7619978991904542e-11
Pre,33,alpha,relative,right_motor,0.5687093826219042
Pre,33,beta,absolute,right_motor,2.2289798775198825e-12
Pre,33,beta,relative,right_motor,0.07194343254344372
Pre,33,low_gamma,absolute,right_motor,2.5709808917115075e-13
Pre,33,low_gamma,relative,right_motor,0.008298199199498146
Pre,34,alpha,absolute,left_motor,1.593910502933931e-11
Pre,34,alpha,relative,left_motor,0.5669003588338064
Pre,34,beta,absolute,left_motor,2.0613347397667515e-12
Pre,34,beta,relative,left_motor,0.07331474392692428
Pre,34,low_gamma,absolute,left_motor,4.146283973479496e-13
Pre,34,low_gamma,relative,left_motor,0.014746937598226106
Pre,34,alpha,absolute,right_motor,2.1600333234424433e-11
Pre,34,alpha,relative,right_motor,0.668208435741015
Pre,34,beta,absolute,right_motor,1.82824709595296e-12
Pre,34,beta,relative,right_motor,0.05655700395343151
Pre,34,low_gamma,absolute,right_motor,2.5956095780502756e-13
Pre,34,low_gamma,relative,right_motor,0.008029543790459889
Pre,35,alpha,absolute,left_motor,1.1819474477736532e-11
Pre,35,alpha,relative,left_motor,0.4479798715160273
Pre,35,beta,absolute,left_motor,2.364357865233209e-12
Pre,35,beta,relative,left_motor,0.08961352170777045
Pre,35,low_gamma,absolute,left_motor,3.6661653956014615e-13
Pre,35,low_gamma,relative,left_motor,0.013895442694780175
Pre,35,alpha,absolute,right_motor,1.132739467515609e-11
Pre,35,alpha,relative,right_motor,0.43905854636138886
Pre,35,beta,absolute,right_motor,2.2973127438641184e-12
Pre,35,beta,relative,right_motor,0.08904561223338625
Pre,35,low_gamma,absolute,right_motor,2.9578689293962813e-13
Pre,35,low_gamma,relative,right_motor,0.011464927900116212
Pre,36,alpha,absolute,left_motor,2.490433637176214e-11
Pre,36,alpha,relative,left_motor,0.568028403263942
Pre,36,beta,absolute,left_motor,3.071325926950724e-12
Pre,36,beta,relative,left_motor,0.07005207190210806
Pre,36,low_gamma,absolute,left_motor,4.368554592545262e-13
Pre,36,low_gamma,relative,left_motor,0.009963979978155372
Pre,36,alpha,absolute,right_motor,2.8033878748217995e-11
Pre,36,alpha,relative,right_motor,0.5707348309653856
Pre,36,beta,absolute,right_motor,2.6985004952365966e-12
Pre,36,beta,relative,right_motor,0.05493810677577994
Pre,36,low_gamma,absolute,right_motor,2.8252290980037834e-13
Pre,36,low_gamma,relative,right_motor,0.005751814317846316
Pre,37,alpha,absolute,left_motor,3.9778734480085957e-11
Pre,37,alpha,relative,left_motor,0.6530374318608275
Pre,37,beta,absolute,left_motor,3.4749914930360407e-12
Pre,37,beta,relative,left_motor,0.05704805720972688
Pre,37,low_gamma,absolute,left_motor,4.82687298970704e-13
Pre,37,low_gamma,relative,left_motor,0.007924155411969428
Pre,37,alpha,absolute,right_motor,3.359173419814048e-11
Pre,37,alpha,relative,right_motor,0.48600406802951307
Pre,37,beta,absolute,right_motor,4.574164305730437e-12
Pre,37,beta,relative,right_motor,0.06617885362237257
Pre,37,low_gamma,absolute,right_motor,3.6088687775201723e-13
Pre,37,low_gamma,relative,right_motor,0.005221299074689006
Pre,38,alpha,absolute,left_motor,2.0222831658780464e-11
Pre,38,alpha,relative,left_motor,0.4245741744549213
Pre,38,beta,absolute,left_motor,4.204524320014513e-12
Pre,38,beta,relative,left_motor,0.08827311982151234
Pre,38,low_gamma,absolute,left_motor,3.7022058793896694e-13
Pre,38,low_gamma,relative,left_motor,0.007772704789447946
Pre,38,alpha,absolute,right_motor,2.9200896177702895e-11
Pre,38,alpha,relative,right_motor,0.5000821170176762
Pre,38,beta,absolute,right_motor,4.913376986377745e-12
Pre,38,beta,relative,right_motor,0.08414440262726901
Pre,38,low_gamma,absolute,right_motor,2.863909744190561e-13
Pre,38,low_gamma,relative,right_motor,0.004904609910280608
Pre,39,alpha,absolute,left_motor,2.6810395122208682e-11
Pre,39,alpha,relative,left_motor,0.6030494615271083
Pre,39,beta,absolute,left_motor,4.3736178546633435e-12
Pre,39,beta,relative,left_motor,0.09837631561033083
Pre,39,low_gamma,absolute,left_motor,3.5852483145720257e-13
Pre,39,low_gamma,relative,left_motor,0.008064342415277008
Pre,39,alpha,absolute,right_motor,3.25448287278581e-11
Pre,39,alpha,relative,right_motor,0.6224876609702967
Pre,39,beta,absolute,right_motor,4.0753811114124936e-12
