condition,epoch_index,band,summary_type,value
Pre,24,alpha,within_left,0.5327575381077243
Pre,24,alpha,within_right,0.17721028600909117
Pre,24,alpha,interhemispheric,0.42923002917562375
Pre,24,alpha,anterior_posterior,0.30864437034223063
Pre,25,alpha,within_left,0.24413064455492345
Pre,25,alpha,within_right,0.448841963833945
Pre,25,alpha,interhemispheric,0.3771224176801084
Pre,25,alpha,anterior_posterior,0.33899377561118293
Pre,26,alpha,within_left,0.41521465753527276
Pre,26,alpha,within_right,0.2514560993740706
Pre,26,alpha,interhemispheric,0.30914014605866497
Pre,26,alpha,anterior_posterior,0.34365767416077286
Pre,27,alpha,within_left,0.25819398147767714
Pre,27,alpha,within_right,0.23888503219139157
Pre,27,alpha,interhemispheric,0.25109188726895154
Pre,27,alpha,anterior_posterior,0.25846948665166697
Pre,28,alpha,within_left,0.2557099158143802
Pre,28,alpha,within_right,0.35906742286404886
Pre,28,alpha,interhemispheric,0.13130052526609712
Pre,28,alpha,anterior_posterior,0.2826484934612547
Pre,29,alpha,within_left,0.642636539820632
Pre,29,alpha,within_right,0.34748926065223756
Pre,29,alpha,interhemispheric,0.41686097167167174
Pre,29,alpha,anterior_posterior,0.5255564885710119
Pre,30,alpha,within_left,0.5298530871557072
Pre,30,alpha,within_right,0.40560179735280394
Pre,30,alpha,interhemispheric,0.3435964266436378
Pre,30,alpha,anterior_posterior,0.4716218409183964
Pre,31,alpha,within_left,0.4906636511717387
Pre,31,alpha,within_right,0.4349141378105551
Pre,31,alpha,interhemispheric,0.2971176259362071
Pre,31,alpha,anterior_posterior,0.4448152177224009
Pre,32,alpha,within_left,0.4527754751945078
Pre,32,alpha,within_right,0.45478391002455415
Pre,32,alpha,interhemispheric,0.2613019340993839
Pre,32,alpha,anterior_posterior,0.4849377880611681
Pre,33,alpha,within_left,0.46305993095106973
Pre,33,alpha,within_right,0.5530274620807685
Pre,33,alpha,interhemispheric,0.44234486375601384
Pre,33,alpha,anterior_posterior,0.5237634457695894
Pre,34,alpha,within_left,0.6040323711148066
Pre,34,alpha,within_right,0.4008131685261312
Pre,34,alpha,interhemispheric,0.3872881760156044
Pre,34,alpha,anterior_posterior,0.5538297649690137
Pre,35,alpha,within_left,0.5810234801397184
Pre,35,alpha,within_right,0.31889853098995496
Pre,35,alpha,interhemispheric,0.31064552440711973
Pre,35,alpha,anterior_posterior,0.45686638654249667
Pre,36,alpha,within_left,0.6306011891992345
Pre,36,alpha,within_right,0.3622034783997046
Pre,36,alpha,interhemispheric,0.5278299460280873
Pre,36,alpha,anterior_posterior,0.5014193679704234
Pre,37,alpha,within_left,0.4059125530458153
Pre,37,alpha,within_right,0.25676285836595153
Pre,37,alpha,interhemispheric,0.2655771984558227
Pre,37,alpha,anterior_posterior,0.29656316799526034
Pre,38,alpha,within_left,0.29003515770493543
Pre,38,alpha,within_right,0.42165136839611755
Pre,38,alpha,interhemispheric,0.28284019478256617
Pre,38,alpha,anterior_posterior,0.33295642791195657
Pre,39,alpha,within_left,0.36247230957804777
Pre,39,alpha,within_right,0.3161442049720403
Pre,39,alpha,interhemispheric,0.26227386574835476
Pre,39,alpha,anterior_posterior,0.3957206919142951
Pre,40,alpha,within_left,0.27313770073102245
Pre,40,alpha,within_right,0.3428638456787022
Pre,40,alpha,interhemispheric,0.2810416094472114
Pre,40,alpha,anterior_posterior,0.3991968216016584
Pre,41,alpha,within_left,0.4737613885247047
Pre,41,alpha,within_right,0.3705304354411023
Pre,41,alpha,interhemispheric,0.43040992909779185
Pre,41,alpha,anterior_posterior,0.4205619987341568
Pre,42,alpha,within_left,0.4003534991053807
Pre,42,alpha,within_right,0.3006984554696661
Pre,42,alpha,interhemispheric,0.27401321253525884
Pre,42,alpha,anterior_posterior,0.3153717274961665
Pre,43,alpha,within_left,0.3949099819227369
Pre,43,alpha,within_right,0.4173255553742114
Pre,43,alpha,interhemispheric,0.4843364938809132
Pre,43,alpha,anterior_posterior,0.4529176664442822
Pre,44,alpha,within_left,0.31213578486748594
Pre,44,alpha,within_right,0.2760542238648964
Pre,44,alpha,interhemispheric,0.25198580569036627
Pre,44,alpha,anterior_posterior,0.29048381222479136
Pre,45,alpha,within_left,0.480132064738881
Pre,45,alpha,within_right,0.2565229032371285
Pre,45,alpha,interhemispheric,0.24060514531069613
Pre,45,alpha,anterior_posterior,0.3271261583455806
Pre,46,alpha,within_left,0.2824627536316048
Pre,46,alpha,within_right,0.2075157303429474
Pre,46,alpha,interhemispheric,0.27236506834908475
Pre,46,alpha,anterior_posterior,0.2413427410025517
Pre,47,alpha,within_left,0.5851529045502225
Pre,47,alpha,within_right,0.562686764887251
Pre,47,alpha,interhemispheric,0.5103087587403854
Pre,47,alpha,anterior_posterior,0.5158330620304521
Pre,48,alpha,within_left,0.24673775903152834
Pre,48,alpha,within_right,0.2559157523594114
Pre,48,alpha,interhemispheric,0.520271580332871
Pre,48,alpha,anterior_posterior,0.37483094453404464
Pre,49,alpha,within_left,0.3535563394032139
Pre,49,alpha,within_right,0.4254644067028481
Pre,49,alpha,interhemispheric,0.30215026341077433
Pre,49,alpha,anterior_posterior,0.38300661252890394
Pre,50,alpha,within_left,0.15246134968785294
Pre,50,alpha,within_right,0.23662303712437982
Pre,50,alpha,interhemispheric,0.3796545561516756
Pre,50,alpha,anterior_posterior,0.2214354148294725
Pre,51,alpha,within_left,0.31781662066866345
Pre,51,alpha,within_right,0.29891671011168264
Pre,51,alpha,interhemispheric,0.16535214123311456
Pre,51,alpha,anterior_posterior,0.32032480065333546
Pre,52,alpha,within_left,0.21862648523260356
Pre,52,alpha,within_right,0.2884013427377696
Pre,52,alpha,interhemispheric,0.24888949033962104
Pre,52,alpha,anterior_posterior,0.29485282285062997
Pre,53,alpha,within_left,0.390700840675778
Pre,53,alpha,within_right,0.5171419296057582
Pre,53,alpha,interhemispheric,0.37139502446550177
Pre,53,alpha,anterior_posterior,0.44605222944449213
Pre,54,alpha,within_left,0.370428208010378
Pre,54,alpha,within_right,0.2815812021790393
Pre,54,alpha,interhemispheric,0.3751612901866948
Pre,54,alpha,anterior_posterior,0.3126781692450835
Pre,55,alpha,within_left,0.5417924073362667
Pre,55,alpha,within_right,0.38138401628979074
Pre,55,alpha,interhemispheric,0.3500018381577524
Pre,55,alpha,anterior_posterior,0.44408385115515236
